"FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","DIVERTED","DISTANCE",
2019-01-01,"AA",19805,"958",10423,1042302,30423,"AUS",12892,1289208,32575,"LAX","1843","1838",-5.00,16.00,"1854","1942",42.00,"2005","2024",19.00,0.00,"",0.00,1242.00,
2019-01-01,"WN",19393,"7",14831,1483106,32457,"SJC",14107,1410702,30466,"PHX","1345","1345",0.00,8.00,"1353","1621",4.00,"1625","1625",0.00,0.00,"",0.00,621.00,
2019-01-01,"OO",20304,"3363",14747,1474703,30559,"SEA",14893,1489302,33192,"SMF","2200","2152",-8.00,21.00,"2213","2330",6.00,"2352","2336",-16.00,0.00,"",0.00,605.00,
2019-01-02,"OO",20304,"3701",14893,1489302,33192,"SMF",14869,1486903,34614,"SLC","1649","1642",-7.00,15.00,"1657","1918",8.00,"1932","1926",-6.00,0.00,"",0.00,532.00,
2019-01-02,"WN",19393,"4419",10800,1080003,32575,"BUR",14107,1410702,30466,"PHX","1625","1644",19.00,29.00,"1713","1922",8.00,"1850","1930",40.00,0.00,"",0.00,369.00,
2019-01-02,"WN",19393,"3813",14908,1490803,32575,"SNA",14107,1410702,30466,"PHX","0915","0916",1.00,8.00,"0924","1123",8.00,"1125","1131",6.00,0.00,"",0.00,338.00,
2019-01-02,"DL",19790,"2469",10397,1039707,30397,"ATL",12892,1289208,32575,"LAX","2130","2142",12.00,22.00,"2204","2321",10.00,"2330","2331",1.00,0.00,"",0.00,1947.00,
2019-01-03,"YV",20378,"5729",14689,1468902,34689,"SBA",14107,1410702,30466,"PHX","1630","1624",-6.00,8.00,"1632","1842",8.00,"1901","1850",-11.00,0.00,"",0.00,455.00,
2019-01-03,"WN",19393,"1973",12889,1288903,32211,"LAS",13891,1389101,32575,"ONT","1325","1327",2.00,20.00,"1347","1422",3.00,"1420","1425",5.00,0.00,"",0.00,197.00,
2019-01-03,"B6",20409,"1136",12954,1295406,32575,"LGB",14771,1477104,32457,"SFO","0645","0637",-8.00,23.00,"0700","0758",9.00,"0814","0807",-7.00,0.00,"",0.00,354.00,
2019-01-03,"OO",20304,"5508",12892,1289208,32575,"LAX",14489,1448902,34489,"RDM","1602","1554",-8.00,18.00,"1612","1804",12.00,"1830","1816",-14.00,0.00,"",0.00,726.00,
2019-01-04,"WN",19393,"2222",14107,1410702,30466,"PHX",13891,1389101,32575,"ONT","1905","1907",2.00,8.00,"1915","1903",4.00,"1915","1907",-8.00,0.00,"",0.00,325.00,
2019-01-04,"UA",19977,"2278",14107,1410702,30466,"PHX",14771,1477104,32457,"SFO","0615","0618",3.00,18.00,"0636","0708",7.00,"0722","0715",-7.00,0.00,"",0.00,651.00,
2019-01-04,"OO",20304,"5176",10140,1014005,30140,"ABQ",14771,1477104,32457,"SFO","2014","2054",40.00,21.00,"2115","2224",3.00,"2200","2227",27.00,0.00,"",0.00,896.00,
2019-01-04,"UA",19977,"1557",13830,1383002,33830,"OGG",14771,1477104,32457,"SFO","2245","2236",-9.00,11.00,"2247","0520",5.00,"0533","0525",-8.00,0.00,"",0.00,2338.00,
2019-01-05,"OO",20304,"2971",14489,1448902,34489,"RDM",12892,1289208,32575,"LAX","0555","0549",-6.00,10.00,"0559","0801",27.00,"0831","0828",-3.00,0.00,"",0.00,726.00,
2019-01-05,"F9",20436,"268",14908,1490803,32575,"SNA",11292,1129202,30325,"DEN","1159","1150",-9.00,13.00,"1203","1441",10.00,"1520","1451",-29.00,0.00,"",0.00,846.00,
2019-01-05,"AA",19805,"1275",11278,1127805,30852,"DCA",12892,1289208,32575,"LAX","0705","0709",4.00,18.00,"0727","0947",46.00,"1021","1033",12.00,0.00,"",0.00,2311.00,
2019-01-06,"WN",19393,"4485",13495,1349505,33495,"MSY",12892,1289208,32575,"LAX","0630","0640",10.00,11.00,"0651","0837",17.00,"0855","0854",-1.00,0.00,"",0.00,1670.00,
2019-01-06,"UA",19977,"2243",13495,1349505,33495,"MSY",14771,1477104,32457,"SFO","1535","2127",352.00,30.00,"2157","0031",10.00,"1825","0041",376.00,0.00,"",0.00,1911.00,
2019-01-06,"DL",19790,"1330",14679,1467903,33570,"SAN",14747,1474703,30559,"SEA","1500","1457",-3.00,19.00,"1516","1757",18.00,"1805","1815",10.00,0.00,"",0.00,1050.00,
2019-01-06,"YV",20378,"5899",12954,1295406,32575,"LGB",14107,1410702,30466,"PHX","1918","1912",-6.00,9.00,"1921","2112",17.00,"2138","2129",-9.00,0.00,"",0.00,355.00,
2019-01-07,"B6",20409,"670",14831,1483106,32457,"SJC",12478,1247805,31703,"JFK","2259","2311",12.00,12.00,"2323","0706",8.00,"0726","0714",-12.00,0.00,"",0.00,2569.00,
2019-01-07,"AS",19930,"1956",14771,1477104,32457,"SFO",14679,1467903,33570,"SAN","1500","1804",184.00,31.00,"1835","1941",2.00,"1630","1943",193.00,0.00,"",0.00,447.00,
2019-01-07,"WN",19393,"2160",14831,1483106,32457,"SJC",12892,1289208,32575,"LAX","1930","1947",17.00,14.00,"2001","2052",8.00,"2045","2100",15.00,0.00,"",0.00,308.00,
2019-01-07,"UA",19977,"310",13930,1393006,30977,"ORD",12892,1289208,32575,"LAX","1130","1123",-7.00,32.00,"1155","1412",11.00,"1408","1423",15.00,0.00,"",0.00,1744.00,
2019-01-08,"WN",19393,"1376",14893,1489302,33192,"SMF",10800,1080003,32575,"BUR","2035","2029",-6.00,9.00,"2038","2139",2.00,"2145","2141",-4.00,0.00,"",0.00,358.00,
2019-01-08,"AA",19805,"2108",14831,1483106,32457,"SJC",10599,1059904,30599,"BHM","1000","0955",-5.00,17.00,"1012","1556",4.00,"1635","1600",-35.00,0.00,"",0.00,1990.00,
2019-01-08,"AS",19930,"1933",12892,1289208,32575,"LAX",14771,1477104,32457,"SFO","1630","1626",-4.00,25.00,"1651","1746",7.00,"1755","1753",-2.00,0.00,"",0.00,337.00,
2019-01-09,"WN",19393,"1671",12892,1289208,32575,"LAX",13796,1379608,32457,"OAK","1415","1409",-6.00,10.00,"1419","1517",6.00,"1540","1523",-17.00,0.00,"",0.00,337.00,
2019-01-09,"AS",19930,"362",14747,1474703,30559,"SEA",14831,1483106,32457,"SJC","2050","2046",-4.00,11.00,"2057","2243",4.00,"2259","2247",-12.00,0.00,"",0.00,696.00,
2019-01-09,"UA",19977,"562",11292,1129202,30325,"DEN",14908,1490803,32575,"SNA","1915","1904",-11.00,18.00,"1922","2029",4.00,"2043","2033",-10.00,0.00,"",0.00,846.00,
2019-01-09,"WN",19393,"463",14893,1489302,33192,"SMF",13891,1389101,32575,"ONT","0620","0616",-4.00,7.00,"0623","0725",4.00,"0735","0729",-6.00,0.00,"",0.00,390.00,
2019-01-10,"WN",19393,"1190",13891,1389101,32575,"ONT",13796,1379608,32457,"OAK","0815","0812",-3.00,8.00,"0820","0916",6.00,"0940","0922",-18.00,0.00,"",0.00,362.00,
2019-01-10,"OO",20304,"3404",14771,1477104,32457,"SFO",11259,1125903,30194,"DAL","0645","0645",0.00,25.00,"0710","1223",4.00,"1215","1227",12.00,0.00,"",0.00,1476.00,
2019-01-10,"UA",19977,"269",14771,1477104,32457,"SFO",12892,1289208,32575,"LAX","1000","0953",-7.00,19.00,"1012","1104",11.00,"1140","1115",-25.00,0.00,"",0.00,337.00,
2019-01-11,"OO",20304,"3490",14747,1474703,30559,"SEA",11638,1163807,31638,"FAT","1745","1735",-10.00,26.00,"1801","2007",5.00,"1955","2012",17.00,0.00,"",0.00,748.00,
2019-01-11,"AA",19805,"1243",11298,1129806,30194,"DFW",14679,1467903,33570,"SAN","1924","1926",2.00,28.00,"1954","2038",5.00,"2034","2043",9.00,0.00,"",0.00,1171.00,
2019-01-11,"HA",19690,"64",12982,1298202,32982,"LIH",12892,1289208,32575,"LAX","1420","1425",5.00,20.00,"1445","2158",7.00,"2140","2205",25.00,0.00,"",0.00,2615.00,
2019-01-11,"B6",20409,"168",13796,1379608,32457,"OAK",12478,1247805,31703,"JFK","2350","2343",-7.00,10.00,"2353","0755",13.00,"0812","0808",-4.00,0.00,"",0.00,2576.00,
2019-01-12,"WN",19393,"2385",14679,1467903,33570,"SAN",11292,1129202,30325,"DEN","1555","1553",-2.00,11.00,"1604","1851",6.00,"1910","1857",-13.00,0.00,"",0.00,853.00,
